date,time,level,p3d,p30d,is_dry,is_strong_wind,result_text,source
2026-01-26,05:38,0,1.0,69.5,False,False,該当なし,a1
2026-01-26,05:38,0,1.0,69.5,False,False,該当なし,a1
2026-01-26,05:44,0,1.0,69.5,False,False,該当なし,a1
